,Unnamed: 0,album,track,popularity,album_popularity,album_tracks,avg_album_popularity,lyrics
0,0,À peu près,À peu près,52,588,13,45.23,"Je me souviens de tes poèmes
Et de la lumière dans tes yeux
Je me souviens de tes ""je t'aime""
Que tu balançais comme des vœux
As-tu un jour voulu qu'on sème
Des pétales et des jours heureux ?
Savais-tu tous les problèmes ?
As-tu jeté les dés au feu, au feu ?

C'était de l'or, tu sais
C'était comme de l'or notre histoire et si jamais
Si je m'en sors à peu près
Ne t'en fais pas qu'un jour ou l'autre
Je te retrouverai, je te retrouverai

Tu m'as dit que j'étais la tienne
Qu'avec moi, le ciel est plus bleu
Tu m'as cité Rimbaud, Verlaine
Conté l'histoire de la vie à deux, à deux

Et c'était de l'or, tu sais
C'était comme de l'or notre histoire et si jamais
Si je m'en sors à peu près
Ne t'en fais pas qu'un jour ou l'autre
Je te retrouverai, je te retrouverai
C'en est assez des amours blêmes
Et des cœurs brisés en morceaux
De ces chansons sur le même thème
Qui ont épuisé tous mes mots, tous mes mots

C'était de l'or, tu sais
C'était comme de l'or notre histoire et si jamais
Si je m'en sors à peu près
Ne t'en fais pas qu'un jour ou l'autre
Je te retrouverai, je te retrouverai
1EmbedShare URLCopyEmbedCopy"
1,1,À peu près,Même robe qu'hier,40,588,13,45.23,"Tu dis que tu nous vois déjà loin
Tu parles de nous dans longtemps
Tu dis même si t'en sais rien
J'ai jamais connu plus convainquant
Tu dis quand tu parles à mon âme
C'est mon corps qui te répond
Encore du charme, encore le charme
On chante, tu chantes, chaque phrase est un canon

Tam tam tam o ho, à deux pas de la terre
Tam tam tam o ho, trempée sous la pluie
Tam tam tam o ho, avec la même robe qu'hier
Tam tam tam o ho, je suis restée toute la nuit

C'était d'abord un regard, d'accord
Un verre au bar d'accord, mais c'est tout
Des rires en bas, des gens dehors
Ça dure, j'adore, c'était facile d'être nous
Des étages à monter, lentement
Et s'embrasser avant l'heure
Puis atteindre ton appartement
Au petit matin de lueur
Tam tam tam o ho, à deux pas de la terre
Tam tam tam o ho, trempée sous la pluie
Tam tam tam o ho, avec la même robe qu'hier
Tam tam tam o ho, je suis restée toute la nuit

O ho ho ho, o ho ho ho
O ho, o ho, o ho ho ho ho ho
Tam tam tam hmm, tous les ""toujours"" qu'on s'est dit
Tam tam tam hmm, on a beaucoup trop promis

Tam tam tam o ho, à deux pas de la terre
Tam tam tam o ho, je marche dans le soleil
Tam tam tam o ho, avec la même robe qu'hier
Tam tam tam o ho, je te connais depuis la veilleEmbedShare URLCopyEmbedCopy"
2,2,À peu près,Ce garçon est une ville,39,588,13,45.23,"Ce garçon est une ville que j'aime, de mes doigts, visiter
Ce garçon, une ville que j'aime, de part en part, sillonner
Un modèle de cité, un modèle de cité
Ce garçon est une ville où j'aime mon cœur laisser flâner
Ce garçon, une ville, sereine capitale de mes baisers
Un modèle de cité, un modèle de cité

Aucun endroit, aucun, ne m'avait fait cet effet-là
Aucun endroit que ce garçon
Aucun endroit, aucun, ne m'avait fait cet effet-là
Aucun endroit que ce garçon-là

Je me lassais des villes nouvelles, où je n'faisais que passer
Mais celle mystérieuse que j'aime, c'est le garçon dont je rêvais
D'une antique beauté, d'une antique beauté
Vers sa voix, je me rue, je cours à perdre l'ouïe, la vue
Vers sa voix, je me rue, je cours, le temps est suspendu
Dans cette grande avenue, dans cette grande avenue

Aucun endroit, aucun, ne m'avait fait cet effet-là
Aucun endroit que ce garçon
Aucun endroit, aucun, ne m'avait fait cet effet-là
Aucun endroit que ce garçon-là
À ses fontaines, je bois, je bois, je bois tant que j'en suis ivre
À ces points d'eau, je bois, je bois, tant et tant que j'en suis ivre
Et je me sens revivre, et je me sens revivre
Ce garçon est une ville que j'aime
Que j'aimeEmbedShare URLCopyEmbedCopy"
3,3,À peu près,Comme si j'y croyais,38,588,13,45.23,"Comme si j'y croyais, j'ai pris ce train
Pour ailleurs et pour demain
J'ai embrassé deux trois filles
Quelques garçons puis je leur ai dit non
Je vais là où le vent me porte
Je fais toujours en quelque sorte
Le grand voyage
Une guitare et quelques mots
Chaque soir, je reprends à zéro
Mon grand ouvrage
Comme si j'y croyais
Comme si j'y croyais, je vis des vies
Libre de tout chagrin
Mes journées ressemblent à des nuits
À d'autres nuits qui ne ressemblent à rien
Quelques coups et quelques caresses
Je casse mes cordes je ronge mes laisses
Et je m'enfuis
Grandir, c'est décevoir un peu
Il faut s'appliquer si l'on veut rater sa vie
Comme si j'y croyais
Comme si j'y croyais
Comme si j'y croyais
À force d'y croire c'en est fini
De vivre dans le noir
Avec la lumière et le vent pour seuls alliés
J'ai le souffle coupé
Sans me soucier des jours qui viennent
Je m'enfuis à travers la plaine
Et cette fois
Plus de faux départs, plus de doute
Plus aucun chat noir sur ma route
Puisque j'y crois
Puisque j'y croyais
Comme si j'y croyais
Comme si j'y croyais

C'est la nuit, je prends ce train — le vent me porte pour un grand voyage. Le grand voyage. Je m'enfuis à travers la plaine, et je cours. J'ai le souffle coupé, comme si j'y croyaisEmbedShare URLCopyEmbedCopy"
4,4,À peu près,La gare,37,588,13,45.23,"Je m'avance vers toi dans la gare
Est-ce que tu excuseras mon retard ?
Toi, tu téléphones encore
Je sens que ça ne va pas fort

Pour la première fois, je vois pleurer un garçon
Devant moi, dans tes yeux, des larmes de papillon
Je n'sais pas si je t'aime, si je suis assez forte
Et si ça vaut la peine que tu claques ta porte
Oh
Ta porte, oh

Comme deux beaux imbéciles dans la gare
Ta femme au bout du fil, quel hasard
Elle dit que tu dois choisir
Entre elle et moi sans mentir
 X2
Pour la première fois, je vois pleurer un garçon
Devant moi, dans tes yeux, de femme de saison
Je n'sais pas si je t'aime, si je suis assez forte
Et si ça vaut la peine que tu claques ta porte
Oh
Ta porte, ohEmbedShare URLCopyEmbedCopy"
5,5,À peu près,Adieu mon homme,49,588,13,45.23,"Adieu mon homme
Où tu vas, je n'irai pas
Où tu vas, ne va personne
Où tu vas, il fait trop froid
Adieu mon homme
Je t'embrasse une dernière fois
Souviens-toi de mon goût de pomme
De cerise et de lilas
A-a-ah, a-a-ah
A-a-ah, ah
Adieu mon homme
Je dois vivre sans tes bras
Et dans les bras d'autres hommes
La nuit, c'est toi que je vois
A-a-ah, a-a-ah
A-a-ah, ah
Adieu mon homme
Tu vois, je t'oublie déjà
J'oublie ta voix qui résonne
Tu vois ? Non, tu ne vois pas
A-a-ah, a-a-ah
A-a-ah, ah
Adieu mon homme
Promis, on se reverra
J'attends juste que le glas sonne
Juste qu'il sonne pour moi
Adieu mon homme
C'est la vie et c’est tout moi
J’accepte ce qu'elle me donne
Et je prends c'qu'elle ne me donne pas
A-a-ah, a-a-ah
A-a-ah, a-a-ah
A-a-ah, ah
A-a-ah, a-a-ah
A-a-ah, a-a-ah
A-a-ah, ah
Adieu mon homme
Où tu vas je n'irai pas
Où tu vas, ne va personne
Où tu vas, il fait trop froid1EmbedShare URLCopyEmbedCopy"
6,6,À peu près,La lavande,43,588,13,45.23,"Ta peau n'est pas étanche
Elle coule de désir
De trop longues absences
Et d'envie, tu soupires

Si je m'affaiblis
Que je n'tiens plus debout
Allonge mon corps ici
Tout en haut du Ventoux

Et couvre-moi de lavande
Et de sel si tu pleures
Avant les neiges de décembre
Avant que ne fanent les fleurs
Je veux mourir maintenant
Et renaître au printemps
Je veux mourir maintenant
Et renaître au printemps

Ta peau toujours si blanche
Au soleil, va noircir
Les fruits sur cette branche
Au soleil vont mûrir
Et je m'affaiblis
Oh, je n'tiens plus debout
Allonge mon corps ici
Tout en haut du Ventoux

Et couvre-moi de lavande
Et de sel si tu pleures
Avant les neiges de décembre
Avant que ne fanent les fleurs
Je veux mourir maintenant
Et renaître au printemps
Je veux mourir maintenant
Et renaître au printemps

Ma peau n'est pas si jeune
Elle connaît les adieux
Et sous un ciel d'automne
Je ferme enfin les yeux

Et je m'affaiblis
Oh, je n'tiens plus debout
Alors laisse-moi ici
Tout en haut du Ventoux
Et couvre-moi de lavande
Et de sel si tu pleures
Avant les neiges de décembre
Avant que ne fanent les fleurs
Mais si je meurs maintenant
Je n'aurai jamais 20 ans
Les fleurs ne meurent pas vraiment
Elles renaissent au printemps
EmbedShare URLCopyEmbedCopy"
7,7,À peu près,De là-haut,38,588,13,45.23,"Voilà qu’on pleure autour d’une croix
Qu’on jette des fleurs, qu’on parle de moi
C’est une belle journée d’été
Tout le monde s’est habillé

Les mots qui sortent, qu’on n'disait pas
Le vent les apporte jusqu’à moi
Tout paraît si limpide, si limpide, limpide
Vu de là-haut

De là-haut, je vous vois si petits
Tout là-haut, ma peine s’évanouit
Tout là-haut, des visions inouïes
Du soleil qui mange la pluie

J’ai brisé le lien qui me tenait
Le nœud quotidien, je l’ai défait
Tout paraît si futile, si futile, futile
Vu de là-haut

Séchez vos larmes, dormez en paix
Je pars sans drame, et sans regret
Mais c’est facile, si facile, facile à dire
Vu de là-haut
De là-haut, je vous vois si petits
Tout là-haut, ma peine s’évanouit
Tout là-haut, des visions inouïes
Du soleil qui mange la pluie


De là-haut, je vous vois si petits
Tout là-haut, ma peine s’évanouit
Tout là-haut, des visions inouïes
Du soleil qui mange la pluie
EmbedShare URLCopyEmbedCopy"
8,8,À peu près,A Lonely One,33,588,13,45.23,"Drop a nickel in the jukebox, turn up the radio
Let the needle in the shallow groove run slow
Play the music loud, play it wild and high
Play the music loud tonight

Play only, play only, play only a lonely one
Play only, play only, play only a lonely one

Well a new day is dying and a new night is born
While lovers are sighing, singing a happy song
When old Cupid throws millions arrows
Oh yes indeed, me and my shadows

Play only, play only, play only a lonely one
Play only, play only, play only a lonely one

An old love I'm remembering
I'm raising up my glass
To the joys and the sufferings
I want to reminisce
Play only, play only, play only a lonely one
Play only, play only, play only a lonely oneEmbedShare URLCopyEmbedCopy"
9,9,À peu près,Pauline,50,588,13,45.23,"Ça fait depuis l’enfance
Que je connais Pauline
J'n'ai jamais eu la chance
D'être sa copine
Mmm
Elle avait l'air plus grande
Ses jambes étaient si fines
Il n'y avait dans sa bande
Que les plus jolies filles
Mmm

Oh, Pauline, pendue à tes bottines
Les garçons passaient tous à côté de moi
Oh, Pauline, belle comme une ballerine
Je les comprenais, je ne leur en voulais pas

On a suivi nos routes
Un peu en parallèle
Moi surmontant mes doutes
Et toi de plus en plus belle
Mmm
J’ai trouvé ce garçon
Qui me trouvais je n'sais quoi
Mais tu connais son nom
Et tu le veux pour toi
Oui, tu le veux pour toi

Oh, Pauline, j'ai pas ta poitrine
Mais mon cœur bat pour lui, ne me fais pas ça
Oh, Pauline, moulée dans ton jean
Tu sais que je n'peux pas lutter contre ça

Je ne suis pas stupide
Tu peux claquer des doigts
En faire un chien de cirque
Il ne vivra que pour toi
Ah, ah, ah
Pour toi ça n'est qu'un jeu
Tu l'oublieras demain
Moi, j'suis folle amoureuse
S'il me quitte, c'est la fin
S'il me quitte, c'est la fin

Oh, Pauline, rose pleine d’épines
Tu le blesseras un jour alors laisse-le moi
Oh, Pauline, range tes canines
Laisse le bonheur aux autres au moins pour cette fois
Oh, Pauline, oh, Pauline
Laisse le bonheur aux autres au moins pour cette fois
Oh, Pauline, oh, Pauline
Laisse le bonheur aux autres au moins pour cette fois1EmbedShare URLCopyEmbedCopy"
10,10,À peu près,Ceux qui rêvent,67,588,13,45.23,"Mes nuits blanches ne sont pas blanches à peine claires
Semées d’étoiles
Petits trous dans la toile étanche
Tristes strass sur le voile
Et moi, envoûtée de ténèbres
Je passe des heures infinies
À compter les moutons funèbres
Qui tapissent mes insomnies
Ah, minuit est là
Ah, je ne dors pas
Et moins je dors et plus je pense
Et plus je pense et moins j’oublie
L’immense impasse, l’espace immense
Qui s’étendent au fond de mon lit
C’est inouï tous ces silences
Qu’il est cosmique cet ennui
Dois-je recourir à la science ?
Anesthésier l’insomnie ?
Ah, minuit est là
Ah, je ne dors pas
Et puis passé minuit, je danse
Au rythme des tachycardies
Et tout s’emballe et tout balance
Et tout m’étale et tout me fuit
La lune est un fruit un peu rance
La vie est une maladie
Ceux qui rêvent ont bien de la chance
Les autres ont des insomnies
Ceux qui rêvent ont bien de la chance
Les autres ont des insomnies
Ceux qui rêvent ont bien de la chance
Quant à moi, j’ai des insomnies
Ah, minuit est là
Ah, je ne dors pas
Ah, minuit est là
Ah, je ne dors pas
Je ne dors pas
Je ne dors pas
Je n'dors pas
N'dors pas

Je n'dors pas3EmbedShare URLCopyEmbedCopy"
11,11,À peu près,On brûlera,60,588,13,45.23,"On brûlera toutes les deux
En enfer, mon ange
J’ai prévu nos adieux
À la Terre, mon ange
Et je veux partir avec toi
Je veux mourir dans tes bras

Que la mer nous mange le corps, ah
Que le sel nous lave le cœur, ah
Je t’aimerai encore
Je t’aimerai encore
Ah, je t’aimerai encore
Je t’aimerai encore

Je m’excuse auprès des dieux
De ma mère et ses louanges
Je sais toutes les prières
Tous les vœux pour que ça change
Mais je veux partir avec toi
Je veux mourir dans tes bras

Que la mer nous mange le corps, ah
Que le sel nous lave le cœur, ah
Je t’aimerai encore
Je t’aimerai encore
Ah, je t’aimerai encore
Je t’aimerai encore
On brûlera toutes les deux
En enfer, mon ange
Tu peux écrire tes adieux
À la Terre, mon ange
Car je veux partir avec toi
Je veux mourir dans tes bras

Si la mer nous mange le corps, ah
Si le sel nous pique le cœur, ah
Je t’aimerai encore
Je t’aimerai encore
Ah, je t’aimerai encore
Je t’aimerai encore5EmbedShare URLCopyEmbedCopy"
12,12,À peu près,De quoi te plaire,42,588,13,45.23,"Toute seule à l'ombre
Je rêve de tes bras
La nuit noire s'effondre
Et quelques larmes dans ma voix
La route était si longue
Pour arriver jusqu'à toi
Et tu viens de me dire
""Surtout, ne t'arrête pas""

Et je regarde encore une fois
Dans le miroir, je n'trouve pas de quoi te plaire
Alors, j'écris des mots sans voix
Pour oublier que je n'ai pas de quoi te plaire
De quoi te plaire

Il y a autour de moi
Tous ces hommes à la file
Mais même additionnés, multipliés
Je crains qu'il
N'y ait pas chez eux
Le moindre souffle de ta grâce
Et tu viens de me dire
""Reste ici, moi, je passe""
Et je regarde encore une fois
Dans le miroir, je n'trouve pas de quoi te plaire
Alors, j'écris des mots sans voix
Pour oublier que je n'ai pas de quoi te plaire
De quoi te plaire

Alors, j'écris des mots sans voix
Pour oublier que je n'ai pas de quoi te plaireEmbedShare URLCopyEmbedCopy"
13,13,À peu près (Deluxe),À peu près,31,501,18,27.83,"Je me souviens de tes poèmes
Et de la lumière dans tes yeux
Je me souviens de tes ""je t'aime""
Que tu balançais comme des vœux
As-tu un jour voulu qu'on sème
Des pétales et des jours heureux ?
Savais-tu tous les problèmes ?
As-tu jeté les dés au feu, au feu ?

C'était de l'or, tu sais
C'était comme de l'or notre histoire et si jamais
Si je m'en sors à peu près
Ne t'en fais pas qu'un jour ou l'autre
Je te retrouverai, je te retrouverai

Tu m'as dit que j'étais la tienne
Qu'avec moi, le ciel est plus bleu
Tu m'as cité Rimbaud, Verlaine
Conté l'histoire de la vie à deux, à deux

Et c'était de l'or, tu sais
C'était comme de l'or notre histoire et si jamais
Si je m'en sors à peu près
Ne t'en fais pas qu'un jour ou l'autre
Je te retrouverai, je te retrouverai
C'en est assez des amours blêmes
Et des cœurs brisés en morceaux
De ces chansons sur le même thème
Qui ont épuisé tous mes mots, tous mes mots

C'était de l'or, tu sais
C'était comme de l'or notre histoire et si jamais
Si je m'en sors à peu près
Ne t'en fais pas qu'un jour ou l'autre
Je te retrouverai, je te retrouverai
1EmbedShare URLCopyEmbedCopy"
14,14,À peu près (Deluxe),Même robe qu'hier,26,501,18,27.83,"Tu dis que tu nous vois déjà loin
Tu parles de nous dans longtemps
Tu dis même si t'en sais rien
J'ai jamais connu plus convainquant
Tu dis quand tu parles à mon âme
C'est mon corps qui te répond
Encore du charme, encore le charme
On chante, tu chantes, chaque phrase est un canon

Tam tam tam o ho, à deux pas de la terre
Tam tam tam o ho, trempée sous la pluie
Tam tam tam o ho, avec la même robe qu'hier
Tam tam tam o ho, je suis restée toute la nuit

C'était d'abord un regard, d'accord
Un verre au bar d'accord, mais c'est tout
Des rires en bas, des gens dehors
Ça dure, j'adore, c'était facile d'être nous
Des étages à monter, lentement
Et s'embrasser avant l'heure
Puis atteindre ton appartement
Au petit matin de lueur
Tam tam tam o ho, à deux pas de la terre
Tam tam tam o ho, trempée sous la pluie
Tam tam tam o ho, avec la même robe qu'hier
Tam tam tam o ho, je suis restée toute la nuit

O ho ho ho, o ho ho ho
O ho, o ho, o ho ho ho ho ho
Tam tam tam hmm, tous les ""toujours"" qu'on s'est dit
Tam tam tam hmm, on a beaucoup trop promis

Tam tam tam o ho, à deux pas de la terre
Tam tam tam o ho, je marche dans le soleil
Tam tam tam o ho, avec la même robe qu'hier
Tam tam tam o ho, je te connais depuis la veilleEmbedShare URLCopyEmbedCopy"
15,15,À peu près (Deluxe),Ce garçon est une ville,27,501,18,27.83,"Ce garçon est une ville que j'aime, de mes doigts, visiter
Ce garçon, une ville que j'aime, de part en part, sillonner
Un modèle de cité, un modèle de cité
Ce garçon est une ville où j'aime mon cœur laisser flâner
Ce garçon, une ville, sereine capitale de mes baisers
Un modèle de cité, un modèle de cité

Aucun endroit, aucun, ne m'avait fait cet effet-là
Aucun endroit que ce garçon
Aucun endroit, aucun, ne m'avait fait cet effet-là
Aucun endroit que ce garçon-là

Je me lassais des villes nouvelles, où je n'faisais que passer
Mais celle mystérieuse que j'aime, c'est le garçon dont je rêvais
D'une antique beauté, d'une antique beauté
Vers sa voix, je me rue, je cours à perdre l'ouïe, la vue
Vers sa voix, je me rue, je cours, le temps est suspendu
Dans cette grande avenue, dans cette grande avenue

Aucun endroit, aucun, ne m'avait fait cet effet-là
Aucun endroit que ce garçon
Aucun endroit, aucun, ne m'avait fait cet effet-là
Aucun endroit que ce garçon-là
À ses fontaines, je bois, je bois, je bois tant que j'en suis ivre
À ces points d'eau, je bois, je bois, tant et tant que j'en suis ivre
Et je me sens revivre, et je me sens revivre
Ce garçon est une ville que j'aime
Que j'aimeEmbedShare URLCopyEmbedCopy"
16,16,À peu près (Deluxe),Comme si j'y croyais,26,501,18,27.83,"Comme si j'y croyais, j'ai pris ce train
Pour ailleurs et pour demain
J'ai embrassé deux trois filles
Quelques garçons puis je leur ai dit non
Je vais là où le vent me porte
Je fais toujours en quelque sorte
Le grand voyage
Une guitare et quelques mots
Chaque soir, je reprends à zéro
Mon grand ouvrage
Comme si j'y croyais
Comme si j'y croyais, je vis des vies
Libre de tout chagrin
Mes journées ressemblent à des nuits
À d'autres nuits qui ne ressemblent à rien
Quelques coups et quelques caresses
Je casse mes cordes je ronge mes laisses
Et je m'enfuis
Grandir, c'est décevoir un peu
Il faut s'appliquer si l'on veut rater sa vie
Comme si j'y croyais
Comme si j'y croyais
Comme si j'y croyais
À force d'y croire c'en est fini
De vivre dans le noir
Avec la lumière et le vent pour seuls alliés
J'ai le souffle coupé
Sans me soucier des jours qui viennent
Je m'enfuis à travers la plaine
Et cette fois
Plus de faux départs, plus de doute
Plus aucun chat noir sur ma route
Puisque j'y crois
Puisque j'y croyais
Comme si j'y croyais
Comme si j'y croyais

C'est la nuit, je prends ce train — le vent me porte pour un grand voyage. Le grand voyage. Je m'enfuis à travers la plaine, et je cours. J'ai le souffle coupé, comme si j'y croyaisEmbedShare URLCopyEmbedCopy"
17,17,À peu près (Deluxe),La gare,25,501,18,27.83,"Je m'avance vers toi dans la gare
Est-ce que tu excuseras mon retard ?
Toi, tu téléphones encore
Je sens que ça ne va pas fort

Pour la première fois, je vois pleurer un garçon
Devant moi, dans tes yeux, des larmes de papillon
Je n'sais pas si je t'aime, si je suis assez forte
Et si ça vaut la peine que tu claques ta porte
Oh
Ta porte, oh

Comme deux beaux imbéciles dans la gare
Ta femme au bout du fil, quel hasard
Elle dit que tu dois choisir
Entre elle et moi sans mentir
 X2
Pour la première fois, je vois pleurer un garçon
Devant moi, dans tes yeux, de femme de saison
Je n'sais pas si je t'aime, si je suis assez forte
Et si ça vaut la peine que tu claques ta porte
Oh
Ta porte, ohEmbedShare URLCopyEmbedCopy"
18,18,À peu près (Deluxe),Adieu mon homme,32,501,18,27.83,"Adieu mon homme
Où tu vas, je n'irai pas
Où tu vas, ne va personne
Où tu vas, il fait trop froid
Adieu mon homme
Je t'embrasse une dernière fois
Souviens-toi de mon goût de pomme
De cerise et de lilas
A-a-ah, a-a-ah
A-a-ah, ah
Adieu mon homme
Je dois vivre sans tes bras
Et dans les bras d'autres hommes
La nuit, c'est toi que je vois
A-a-ah, a-a-ah
A-a-ah, ah
Adieu mon homme
Tu vois, je t'oublie déjà
J'oublie ta voix qui résonne
Tu vois ? Non, tu ne vois pas
A-a-ah, a-a-ah
A-a-ah, ah
Adieu mon homme
Promis, on se reverra
J'attends juste que le glas sonne
Juste qu'il sonne pour moi
Adieu mon homme
C'est la vie et c’est tout moi
J’accepte ce qu'elle me donne
Et je prends c'qu'elle ne me donne pas
A-a-ah, a-a-ah
A-a-ah, a-a-ah
A-a-ah, ah
A-a-ah, a-a-ah
A-a-ah, a-a-ah
A-a-ah, ah
Adieu mon homme
Où tu vas je n'irai pas
Où tu vas, ne va personne
Où tu vas, il fait trop froid1EmbedShare URLCopyEmbedCopy"
19,19,À peu près (Deluxe),La lavande,28,501,18,27.83,"Ta peau n'est pas étanche
Elle coule de désir
De trop longues absences
Et d'envie, tu soupires

Si je m'affaiblis
Que je n'tiens plus debout
Allonge mon corps ici
Tout en haut du Ventoux

Et couvre-moi de lavande
Et de sel si tu pleures
Avant les neiges de décembre
Avant que ne fanent les fleurs
Je veux mourir maintenant
Et renaître au printemps
Je veux mourir maintenant
Et renaître au printemps

Ta peau toujours si blanche
Au soleil, va noircir
Les fruits sur cette branche
Au soleil vont mûrir
Et je m'affaiblis
Oh, je n'tiens plus debout
Allonge mon corps ici
Tout en haut du Ventoux

Et couvre-moi de lavande
Et de sel si tu pleures
Avant les neiges de décembre
Avant que ne fanent les fleurs
Je veux mourir maintenant
Et renaître au printemps
Je veux mourir maintenant
Et renaître au printemps

Ma peau n'est pas si jeune
Elle connaît les adieux
Et sous un ciel d'automne
Je ferme enfin les yeux

Et je m'affaiblis
Oh, je n'tiens plus debout
Alors laisse-moi ici
Tout en haut du Ventoux
Et couvre-moi de lavande
Et de sel si tu pleures
Avant les neiges de décembre
Avant que ne fanent les fleurs
Mais si je meurs maintenant
Je n'aurai jamais 20 ans
Les fleurs ne meurent pas vraiment
Elles renaissent au printemps
EmbedShare URLCopyEmbedCopy"
